  1   5.03922611 
  2   1.90093698 
  3   1.57920591 
  4  -1.28172692 
  5   3.56075040 
  6   0.24280904 
  7   4.68843976 
  8   4.07016137 
  9   4.84379491 
 10   5.77996704 
 11   3.40594264 
 12   4.73744467 
 13   3.74666979 
 14   3.84329655 
 15   4.28431155 
 16   4.08243814 
 17   4.71219835 
 18   3.48464560 
 19   2.51642198 
 20   1.90463798 
 21   3.13026970 
 22   2.54931498 
 23  -3.00283262 
 24  -5.30486644 
 25  -4.27854247 
 26  -5.34639048 
 27   0.86844737 
 28   1.32397677 
 29   2.05950174 
 30   1.99866312 
 31   3.27898704 
 32   0.84642487 
 33   0.74639740 
 34   1.15203489 
 35  -0.97882900 
 36   1.57647476 
 37   0.38720752 
 38  -0.72735942 
 39   4.04897324 
 40   3.94480493 
 41  -2.95847806 
 42   1.81311201 
 43  -0.24136432 
 44   0.63639701 
 45  -0.24288235 
